alpha,beta,gate_m,max_reject,baseline_mean_rise_s,baseline_mean_settle_s,ab_mean_rise_s,ab_mean_settle_s,ab_mean_overshoot_m,sensor_reject_ratio,ab_tracker_gate_reject_ratio,score_switch
0.1,0.0,12.0,5,0.2362950839380387,35.364888888888885,0.23619093643233777,35.364888888888885,17.763810858417965,0.1882640586797066,0.2469437652811736,32.574751749789385
0.1,0.0,15.0,5,0.2362950839380387,35.364888888888885,0.23619093643233777,35.364888888888885,17.763810858417965,0.1882640586797066,0.2469437652811736,32.574751749789385
0.15,0.0,10.0,5,0.2362950839380387,35.364888888888885,0.2361675918923148,35.364888888888885,17.803221328777983,0.1882640586797066,0.2469437652811736,32.58261049932137
0.15,0.0,12.0,5,0.2362950839380387,35.364888888888885,0.2361675918923148,35.364888888888885,17.803221328777983,0.1882640586797066,0.2469437652811736,32.58261049932137
0.15,0.0,15.0,5,0.2362950839380387,35.364888888888885,0.2361675918923148,35.364888888888885,17.803221328777983,0.1882640586797066,0.2469437652811736,32.58261049932137
0.15,0.0,10.0,5,0.2362950839380387,35.364888888888885,0.2361675918923148,35.364888888888885,17.803221328777983,0.1882640586797066,0.2469437652811736,32.58261049932137
0.15,0.0,12.0,5,0.2362950839380387,35.364888888888885,0.2361675918923148,35.364888888888885,17.803221328777983,0.1882640586797066,0.2469437652811736,32.58261049932137
0.15,0.0,15.0,5,0.2362950839380387,35.364888888888885,0.2361675918923148,35.364888888888885,17.803221328777983,0.1882640586797066,0.2469437652811736,32.58261049932137
0.1,0.0,8.0,5,0.2362950839380387,35.364888888888885,0.23607199483245697,35.364888888888885,17.763810858417965,0.1882640586797066,0.254278728606357,32.589302734839876
0.1,0.0,8.0,5,0.2362950839380387,35.364888888888885,0.23607199483245697,35.364888888888885,17.763810858417965,0.1882640586797066,0.254278728606357,32.589302734839876
0.1,0.0,8.0,5,0.2362950839380387,35.364888888888885,0.23607199483245697,35.364888888888885,17.763810858417965,0.1882640586797066,0.254278728606357,32.589302734839876
0.15,0.0,8.0,5,0.2362950839380387,35.364888888888885,0.23604011747320597,35.364888888888885,17.803221328777983,0.1882640586797066,0.254278728606357,32.59715295155262
0.15,0.0,8.0,5,0.2362950839380387,35.364888888888885,0.23604011747320597,35.364888888888885,17.803221328777983,0.1882640586797066,0.254278728606357,32.59715295155262
